,COUNTRY,LOWER_OR_SINGLE_HOUSE_ELECTIONS,LOWER_OR_SINGLE_HOUSE_SEATS,LOWER_OR_SINGLE_HOUSE_WOMEN,LOWER_OR_SINGLE_HOUSE_PERCENT_W,UPPER_HOUSE_OR_SENATE_ELECTIONS,UPPER_HOUSE_OR_SENATE_SEATS,UPPER_HOUSE_OR_SENATE_WOMEN,UPPER_HOUSE_OR_SENATE_PERCENT_W,LOWER_OR_SINGLE_HOUSE_ELECTIONS_YEAR,UPPER_HOUSE_OR_SENATE_ELECTIONS_YEAR
0,Sweden,1998-09-01,349.0,149.0,0.4269340974212034,,0.0,0.0,,1998,NaT
1,Denmark,1998-03-01,179.0,67.0,0.3743016759776536,,0.0,0.0,,1998,NaT
2,Finland,1999-03-01,200.0,73.0,0.365,,0.0,0.0,,1999,NaT
3,Netherlands,1998-05-01,150.0,54.0,0.36,1999-05-01,75.0,20.0,0.26666666666666666,1998,1999
4,Norway,2001-09-01,165.0,59.0,0.3575757575757576,,0.0,0.0,,2001,NaT
5,Iceland,1999-05-01,63.0,22.0,0.3492063492063492,,0.0,0.0,,1999,NaT
6,Germany,1998-09-01,669.0,207.0,0.3094170403587444,,69.0,17.0,0.2463768115942029,1998,NaT
7,New Zealand,1999-11-01,120.0,37.0,0.30833333333333335,,0.0,0.0,,1999,NaT
8,Mozambique,1999-12-01,250.0,75.0,0.3,,0.0,0.0,,1999,NaT
9,South Africa,1999-06-01,399.0,119.0,0.2982456140350877,1999-06-01,89.0,17.0,0.19101123595505617,1999,1999
10,Spain,2000-03-01,350.0,99.0,0.28285714285714286,2000-03-01,259.0,63.0,0.24324324324324326,2000,2000
11,Cuba,1998-01-01,601.0,166.0,0.2762063227953411,,0.0,0.0,,1998,NaT
12,Austria,1999-10-01,183.0,49.0,0.2677595628415301,,64.0,13.0,0.203125,1999,NaT
13,Grenada,1999-01-01,15.0,4.0,0.26666666666666666,1999-01-01,13.0,1.0,0.07692307692307693,1999,1999
14,Argentina,1999-10-01,257.0,68.0,0.26459143968871596,1998-12-01,72.0,2.0,0.027777777777777776,1999,1998
15,Bulgaria,2001-06-01,240.0,63.0,0.2625,,0.0,0.0,,2001,NaT
16,Turkmenistan,1999-12-01,50.0,13.0,0.26,,0.0,0.0,,1999,NaT
17,Viet Nam,1997-07-01,450.0,117.0,0.26,,0.0,0.0,,1997,NaT
18,Rwanda,1994-11-01,74.0,19.0,0.25675675675675674,,0.0,0.0,,1994,NaT
19,Namibia,1999-11-01,72.0,18.0,0.25,1998-11-01,26.0,2.0,0.07692307692307693,1999,1998
20,Australia,1998-10-01,148.0,35.0,0.23648648648648649,1998-10-01,76.0,23.0,0.3026315789473684,1998,1998
21,Seychelles,1998-03-01,34.0,8.0,0.23529411764705882,,0.0,0.0,,1998,NaT
22,Belgium,1999-06-01,150.0,35.0,0.23333333333333334,1999-06-01,71.0,20.0,0.28169014084507044,1999,1999
23,Switzerland,1999-10-01,200.0,46.0,0.23,1999-10-01,46.0,9.0,0.1956521739130435,1999,1999
24,United Rep. of Tanzania,2000-10-01,274.0,61.0,0.22262773722627738,,0.0,0.0,,2000,NaT
25,Monaco,1998-02-01,18.0,4.0,0.2222222222222222,,0.0,0.0,,1998,NaT
26,China,,2984.0,650.0,0.217828418230563,,0.0,0.0,,NaT,NaT
27,Lao People's Democratic Rep.,1997-12-01,99.0,21.0,0.21212121212121213,,0.0,0.0,,1997,NaT
28,Canada,2000-11-01,301.0,62.0,0.2059800664451827,,105.0,34.0,0.3238095238095238,2000,NaT
29,Croatia,2000-01-01,151.0,31.0,0.2052980132450331,1997-04-01,65.0,4.0,0.06153846153846154,2000,1997
30,Dem. People's Rep. of Korea,1998-07-01,687.0,138.0,0.20087336244541484,,0.0,0.0,,1998,NaT
31,Costa Rica,1998-02-01,57.0,11.0,0.19298245614035087,,0.0,0.0,,1998,NaT
32,Dominica,2000-01-01,32.0,6.0,0.1875,,0.0,0.0,,2000,NaT
33,Portugal,1999-10-01,230.0,43.0,0.18695652173913044,,0.0,0.0,,1999,NaT
34,Guyana,1997-12-01,65.0,12.0,0.18461538461538463,,0.0,0.0,,1997,NaT
35,Peru,2001-04-01,120.0,22.0,0.18333333333333332,,0.0,0.0,,2001,NaT
36,United Kingdom,2001-06-01,659.0,118.0,0.17905918057663125,,666.0,104.0,0.15615615615615616,2001,NaT
37,Estonia,1999-03-01,101.0,18.0,0.1782178217821782,,0.0,0.0,,1999,NaT
